otu_id,size,kingdom,phylum,class,order,family,genus,species,taxa_labels
OTU_322,1092,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Kamienskia,,Kamienskia_sp
OTU_300,1091,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium_oxalicum,Penicillium_oxalicum
OTU_263,1087,Fungi,Ascomycota,Dothideomycetes,Pleosporales,,,,Pleosporales_sp
OTU_230,1083,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,,Mortierella_sp
OTU_431,1074,Fungi,Glomeromycota,Glomeromycetes,Diversisporales,Diversisporaceae,Diversispora,,Diversispora_sp
OTU_224,1067,Fungi,Ascomycota,Sordariomycetes,Coniochaetales,,,,Coniochaetales_sp
OTU_338,1049,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Dominikia,,Dominikia_sp
OTU_255,1047,Fungi,Ascomycota,Geoglossomycetes,Geoglossales,,,,Geoglossales_sp
OTU_231,1043,Fungi,,,,,,,Fungi_sp
OTU_234,1036,Fungi,Ascomycota,,,,,,Ascomycota_sp
OTU_272,1022,Fungi,Ascomycota,Dothideomycetes,Pleosporales,,,,Pleosporales_sp
OTU_258,1018,Fungi,Glomeromycota,Glomeromycetes,Diversisporales,Diversisporaceae,Diversispora,,Diversispora_sp
OTU_291,1009,Fungi,Ascomycota,Geoglossomycetes,Geoglossales,,,,Geoglossales_sp
OTU_237,1006,Fungi,,,,,,,Fungi_sp
OTU_254,989,Fungi,,,,,,,Fungi_sp
OTU_492,968,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,,,Glomeraceae_sp
OTU_242,967,Fungi,Ascomycota,Archaeorhizomycetes,Archaeorhizomycetales,Archaeorhizomycetaceae,Archaeorhizomyces,,Archaeorhizomyces_sp
OTU_277,965,Fungi,Glomeromycota,Glomeromycetes,Diversisporales,Diversisporaceae,Diversispora,,Diversispora_sp
OTU_693,957,Fungi,Basidiomycota,Agaricomycetes,Sebacinales,Sebacinaceae,Efibulobasidium,,Efibulobasidium_sp
OTU_246,954,Fungi,Basidiomycota,Cystobasidiomycetes,Cystobasidiales,Cystobasidiaceae,Occultifur,Occultifur_mephitis,Occultifur_mephitis
OTU_314,951,Fungi,Basidiomycota,Agaricomycetes,Sebacinales,,,,Sebacinales_sp
OTU_334,934,Fungi,Basidiomycota,Microbotryomycetes,Sporidiobolales,Sporidiobolaceae,Rhodotorula,,Rhodotorula_sp
OTU_252,925,Fungi,Basidiomycota,Agaricomycetes,,,,,Agaricomycetes_sp
OTU_292,922,Fungi,,,,,,,Fungi_sp
OTU_290,922,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Claroideoglomeraceae,Claroideoglomus,,Claroideoglomus_sp
OTU_479,896,Fungi,Glomeromycota,,,,,,Glomeromycota_sp
OTU_321,892,Fungi,,,,,,,Fungi_sp
OTU_428,885,Fungi,Glomeromycota,Glomeromycetes,Diversisporales,Diversisporaceae,Diversispora,Diversispora_sporocarpia,Diversispora_sporocarpia
OTU_279,873,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Dominikia,,Dominikia_sp
OTU_454,872,Fungi,Basidiomycota,,,,,,Basidiomycota_sp
OTU_259,862,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Clavariaceae,Clavaria,,Clavaria_sp
OTU_248,859,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomus,,Glomus_sp
OTU_265,856,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Ceratobasidiaceae,Ceratobasidium,,Ceratobasidium_sp
OTU_319,851,Fungi,Ascomycota,Sordariomycetes,Trichosphaeriales,Trichosphaeriaceae,Nigrospora,,Nigrospora_sp
OTU_276,842,Fungi,Basidiomycota,Agaricomycetes,Corticiales,Corticiaceae,Waitea,Waitea_circinata,Waitea_circinata
OTU_347,818,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,,,Glomeraceae_sp
OTU_302,813,Fungi,,,,,,,Fungi_sp
OTU_360,809,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomus,,Glomus_sp
OTU_262,798,Fungi,Ascomycota,Sordariomycetes,Hypocreales,,,,Hypocreales_sp
OTU_337,798,Fungi,,,,,,,Fungi_sp
OTU_267,790,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium_cryptoseptatum,Fusarium_cryptoseptatum
OTU_361,782,Fungi,Ascomycota,Eurotiomycetes,Onygenales,Onygenaceae,Xanthothecium,Xanthothecium_peruvianum,Xanthothecium_peruvianum
OTU_297,782,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Claroideoglomeraceae,,,Claroideoglomeraceae_sp
OTU_268,751,Fungi,Ascomycota,,,,,,Ascomycota_sp
OTU_278,744,Fungi,,,,,,,Fungi_sp
OTU_310,736,Fungi,,,,,,,Fungi_sp
OTU_306,725,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Rhizophagus,Rhizophagus_irregularis,Rhizophagus_irregularis
OTU_288,715,Fungi,Kickxellomycota,,,,,,Kickxellomycota_sp
OTU_333,714,Fungi,Basidiomycota,,,,,,Basidiomycota_sp
OTU_273,703,Fungi,,,,,,,Fungi_sp
OTU_287,693,Fungi,Basidiomycota,Agaricomycetes,,,,,Agaricomycetes_sp
OTU_378,684,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Microdominikia,Microdominikia_litorea,Microdominikia_litorea
OTU_437,681,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,,,Glomeraceae_sp
OTU_316,671,Fungi,Ascomycota,Sordariomycetes,Branch06,,,,Branch06_sp
OTU_365,669,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,,,Glomeraceae_sp
OTU_677,669,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,,,Glomeraceae_sp
OTU_301,665,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Bionectriaceae,Protocreopsis,Protocreopsis_euphorbiae,Protocreopsis_euphorbiae
OTU_372,665,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Microdominikia,Microdominikia_litorea,Microdominikia_litorea
OTU_395,661,Fungi,Basidiomycota,Agaricomycetes,,,,,Agaricomycetes_sp
OTU_320,661,Fungi,Ascomycota,Dothideomycetes,Pleosporales,,,,Pleosporales_sp
OTU_286,651,Fungi,Glomeromycota,Glomeromycetes,Glomerales,,,,Glomerales_sp
OTU_283,649,Fungi,Glomeromycota,Glomeromycetes,,,,,Glomeromycetes_sp
OTU_507,647,Fungi,Ascomycota,Sordariomycetes,Sordariales,,,,Sordariales_sp
OTU_419,645,Fungi,Ascomycota,,,,,,Ascomycota_sp
OTU_274,644,Fungi,,,,,,,Fungi_sp
OTU_352,642,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Stachybotryaceae,,,Stachybotryaceae_sp
OTU_303,636,Fungi,Basidiomycota,Agaricomycetes,Sebacinales,Serendipitaceae,,,Serendipitaceae_sp
OTU_323,636,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,,,Glomeraceae_sp
OTU_379,635,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,,,Glomeraceae_sp
OTU_469,631,Fungi,,,,,,,Fungi_sp
OTU_460,625,Fungi,Basidiomycota,Agaricomycetes,Trechisporales,Hydnodontaceae,Subulicystidium,,Subulicystidium_sp
OTU_324,623,Fungi,Chytridiomycota,Spizellomycetes,Spizellomycetales,,,,Spizellomycetales_sp
OTU_294,623,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Stachybotryaceae,,,Stachybotryaceae_sp
OTU_298,617,Fungi,Basidiomycota,Agaricomycetes,Auriculariales,Auriculariales_fam_Incertae_sedis,Oliveonia,,Oliveonia_sp
OTU_296,616,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,,Mortierella_sp
OTU_472,613,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Coprinellus,Coprinellus_radians,Coprinellus_radians
OTU_315,611,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Ophiocordycipitaceae,Purpureocillium,Purpureocillium_lavendulum,Purpureocillium_lavendulum
OTU_285,610,Fungi,Ascomycota,,,,,,Ascomycota_sp
OTU_367,609,Fungi,Basidiomycota,Agaricomycetes,Sebacinales,Serendipitaceae,Serendipita,,Serendipita_sp
OTU_307,608,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymosphaeriaceae,Kalmusia,Kalmusia_italica,Kalmusia_italica
OTU_467,607,Fungi,Ascomycota,,,,,,Ascomycota_sp
OTU_374,605,Fungi,,,,,,,Fungi_sp
OTU_445,600,Fungi,,,,,,,Fungi_sp
OTU_309,591,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,,,Pyronemataceae_sp
OTU_527,591,Fungi,,,,,,,Fungi_sp
OTU_476,587,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Claroideoglomeraceae,Claroideoglomus,,Claroideoglomus_sp
OTU_304,581,Fungi,,,,,,,Fungi_sp
OTU_308,580,Fungi,,,,,,,Fungi_sp
OTU_330,573,Fungi,,,,,,,Fungi_sp
OTU_456,573,Fungi,Basidiomycota,Agaricomycetes,,,,,Agaricomycetes_sp
OTU_442,572,Fungi,,,,,,,Fungi_sp
OTU_295,572,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomus,,Glomus_sp
OTU_441,569,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Rhizophagus,Rhizophagus_irregularis,Rhizophagus_irregularis
OTU_356,565,Fungi,Ascomycota,Geoglossomycetes,Geoglossales,,,,Geoglossales_sp
OTU_413,562,Fungi,Ascomycota,Lecanoromycetes,,,,,Lecanoromycetes_sp
OTU_311,562,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Claroideoglomeraceae,Claroideoglomus,,Claroideoglomus_sp
OTU_345,553,Fungi,,,,,,,Fungi_sp
OTU_485,551,Fungi,Basidiomycota,Tremellomycetes,,,,,Tremellomycetes_sp
OTU_766,545,Fungi,Ascomycota,Lecanoromycetes,,,,,Lecanoromycetes_sp
OTU_459,545,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales_fam_Incertae_sedis,Sarocladium,Sarocladium_zeae,Sarocladium_zeae
OTU_376,544,Fungi,,,,,,,Fungi_sp
OTU_440,541,Fungi,Basidiomycota,Tremellomycetes,Cystofilobasidiales,Mrakiaceae,Mrakia,,Mrakia_sp
OTU_464,539,Fungi,Glomeromycota,Paraglomeromycetes,Paraglomerales,Pervetustaceae,Pervetustus,Pervetustus_simplex,Pervetustus_simplex
OTU_371,538,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Ophiocordycipitaceae,Purpureocillium,,Purpureocillium_sp
OTU_407,537,Fungi,Olpidiomycota,Olpidiomycetes,Olpidiales,Olpidiaceae,Olpidium,,Olpidium_sp
OTU_342,534,Fungi,Ascomycota,Dothideomycetes,,,,,Dothideomycetes_sp
OTU_381,533,Fungi,Ascomycota,Sordariomycetes,Branch06,,,,Branch06_sp
OTU_327,532,Fungi,Basidiomycota,Tremellomycetes,Cystofilobasidiales,Mrakiaceae,Mrakia,Mrakia_panshiensis,Mrakia_panshiensis
OTU_377,530,Fungi,Ascomycota,,,,,,Ascomycota_sp
OTU_329,529,Fungi,Chytridiomycota,Lobulomycetes,Lobulomycetales,,,,Lobulomycetales_sp
OTU_353,529,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,,,Mortierellaceae_sp
OTU_332,527,Fungi,,,,,,,Fungi_sp
OTU_328,525,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Talaromyces,Talaromyces_rugulosus,Talaromyces_rugulosus
OTU_331,523,Fungi,,,,,,,Fungi_sp
OTU_349,514,Fungi,Basidiomycota,Agaricomycetes,Sebacinales,Serendipitaceae,,,Serendipitaceae_sp
OTU_346,507,Fungi,Ascomycota,Sordariomycetes,Sordariales,Helminthosphaeriaceae,Endophragmiella,Endophragmiella_constricta,Endophragmiella_constricta
OTU_348,507,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Dictyosporiaceae,,,Dictyosporiaceae_sp
OTU_930,506,Fungi,Ascomycota,Sordariomycetes,Sordariales,Schizotheciaceae,Schizothecium,Schizothecium_carpinicola,Schizothecium_carpinicola
OTU_1473,505,Fungi,Glomeromycota,Paraglomeromycetes,Paraglomerales,,,,Paraglomerales_sp
OTU_340,490,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Curvularia,,Curvularia_sp
OTU_344,489,Fungi,Ascomycota,Sordariomycetes,Chaetosphaeriales,Chaetosphaeriaceae,Chaetosphaeria,,Chaetosphaeria_sp
OTU_369,487,Fungi,Ascomycota,Dothideomycetes,Tubeufiales,Tubeufiaceae,,,Tubeufiaceae_sp
OTU_988,486,Fungi,,,,,,,Fungi_sp
OTU_439,484,Fungi,Glomeromycota,Glomeromycetes,Diversisporales,Diversisporaceae,Diversispora,,Diversispora_sp
OTU_421,480,Fungi,Aphelidiomycota,Aphelidiomycetes,GS16,,,,GS16_sp
OTU_358,478,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pezizaceae,Iodophanus,,Iodophanus_sp
OTU_368,477,Fungi,,,,,,,Fungi_sp
OTU_389,472,Fungi,Ascomycota,Sordariomycetes,,,,,Sordariomycetes_sp
OTU_339,469,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Dominikia,,Dominikia_sp
OTU_446,465,Fungi,Chytridiomycota,Spizellomycetes,Spizellomycetales,,,,Spizellomycetales_sp
OTU_341,462,Fungi,Ascomycota,,,,,,Ascomycota_sp
OTU_350,462,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Ceratobasidiaceae,Rhizoctonia,,Rhizoctonia_sp
OTU_375,460,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Phaeosphaeria,Phaeosphaeria_ampeli,Phaeosphaeria_ampeli
OTU_391,459,Fungi,,,,,,,Fungi_sp
OTU_387,459,Fungi,Chytridiomycota,Lobulomycetes,Lobulomycetales,,,,Lobulomycetales_sp
OTU_555,457,Fungi,Basidiomycota,Tremellomycetes,,,,,Tremellomycetes_sp
OTU_354,450,Fungi,,,,,,,Fungi_sp
OTU_1760,446,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Rhizophagus,Rhizophagus_irregularis,Rhizophagus_irregularis
OTU_383,444,Fungi,Ascomycota,Sordariomycetes,Hypocreales,,,,Hypocreales_sp
